Comment,Designator,Footprint,LCSC,Note
TP4056 锂电充电,U1,SOP-8,C16581,SMT·锂电充电管理(~1A)
AP2112K-3.3 LDO,U2,SOT-23-5,C51118,SMT·3.3V≥600mA(WiFi峰值靠C6兜)
TTP223-BA6 触摸IC,U3,SOT-23-6,C80757,SMT·Extended
SS8550 PNP,Q1,SOT-23,C8542,SMT·Basic·蜂鸣器低有效驱动
SS8050 NPN,Q2,SOT-23,C2150,SMT·Basic·马达高有效驱动
1N4148W 二极管,D1,SOD-123,C81598,SMT·马达续流(阴极朝3V3)
MLT-8530 无源蜂鸣器,LS1,SMD-8.5x8.5,C94599,SMT·Extended·需治具
SMD币式振动马达,M1,SMD,C22359894,SMT·Extended·3V/80mA
EC11 旋转编码器(SMD版),SW1,EC11-SMD,C209762,SMT·Extended·带按键
SPDT滑动开关 SK-12D07,SW2,SK-12D07,C431540,SMT·电源开关·核对
USB-C 16P(充电),J1,TYPE-C-31-M-12,C165948,SMT·仅取电+CC下拉
JST-PH2.0 2P(锂电),J2,JST-PH-2P,C131337,SMT·电池座·核对
JST-PH2.0 4P(OLED排线),J3,JST-PH-4P,,SMT·屏外接·核对LCSC
母排针 1x8 2.54(SuperMini),H1;H2,HDR-F-2.54_1x8,,★手焊THT·SuperMini插座·核对
LED红0805(充电中),D2,LED0805,C2286,SMT·核对
LED绿0805(充满),D3,LED0805,C72043,SMT·核对
电阻1k,R1;R3;R12;R13,R0402,C11702,SMT·Basic(蜂鸣/马达基极+LED限流)
电阻10k,R2;R9;R10;R11,R0402,C25744,SMT·Basic(基极上拉+编码器上拉)
电阻1.2k,R4,R0402,C25867,SMT·TP4056 Rprog(~1A)·核对
电阻5.1k,R5;R6,R0402,C25905,SMT·Basic·USB-C CC下拉
电阻4.7k,R7;R8,R0402,C25900,SMT·Basic·I2C上拉(OLED自带则选贴)
电容0.1uF,C7;C8;C9,C0402,C1525,SMT·Basic·去耦(TTP223/通用/编码器SW)
电容10nF,C10;C11,C0402,C1523,SMT·编码器A/B去抖·核对
电容1uF,C3;C4,C0402,C52923,SMT·LDO进出·核对
电容10uF,C1;C2,C0603,C19702,SMT·TP4056进出·核对
电容22uF,C5,C0805,C45783,SMT·LDO输出·核对
电容100uF,C6,C1206,C176137,SMT·3V3体电容(WiFi峰值)·核对
电容Cs(触摸灵敏度),C12,C0402,,DNP·默认不贴=最灵敏
